id,name,audiance,open_day,duration,genres,image,watch_grade,actors
180,원더스트럭,13987,20180503,115,[2],https://movie-phinf.pstatic.net/20180405_256/1522893038943Ynh9s_JPEG/movie_image.jpg,0,"[451, 1337, 450]"
181,램페이지,1372657,20180412,107,[4],https://movie-phinf.pstatic.net/20180329_128/1522290942423A9Otf_JPEG/movie_image.jpg,12,"[1143, 515, 808, 153]"
182,콰이어트 플레이스,502875,20180412,90,"[0, 10, 2]",https://movie-phinf.pstatic.net/20180403_79/1522738194813g4I5M_JPEG/movie_image.jpg,15,"[182, 756]"
183,살인소설,38368,20180425,102,[10],https://movie-phinf.pstatic.net/20180313_115/1520907660225l92Om_JPEG/movie_image.jpg,15,"[1389, 800, 1296]"
184,바람 바람 바람,1191776,20180405,100,[7],https://movie-phinf.pstatic.net/20190304_8/1551679670099uSecR_JPEG/movie_image.jpg,19,"[1159, 548, 552, 712, 653, 1394, 502]"
185,나를 기억해,138198,20180419,101,"[5, 12, 10]",https://movie-phinf.pstatic.net/20180326_142/1522045778920qaR4I_JPEG/movie_image.jpg,19,"[252, 860, 158, 953, 860]"
186,레디 플레이어 원,2246322,20180328,139,"[4, 9, 8]",https://movie-phinf.pstatic.net/20180315_203/15211038058255kjrY_JPEG/movie_image.jpg,12,"[1310, 772, 545, 711, 684]"
187,곤지암,2662377,20180328,94,"[0, 10]",https://movie-phinf.pstatic.net/20180406_37/1522991036857QqP7N_JPEG/movie_image.jpg,15,"[710, 970, 1068]"
188,덕구,292804,20180405,91,[2],https://movie-phinf.pstatic.net/20180312_10/1520835949152TqOUm_JPEG/movie_image.jpg,0,"[22, 1299, 1044, 297, 793, 1466, 783]"
189,정글번치: 최강 악당의 등장,31087,20180419,97,[20],https://movie-phinf.pstatic.net/20180327_150/1522118198911wEEtL_JPEG/movie_image.jpg,0,[]
190,크리미널 스쿼드,21562,20180419,123,"[12, 4]",https://movie-phinf.pstatic.net/20180403_153/1522733871782F1sDy_JPEG/movie_image.jpg,15,"[424, 327]"
191,지금 만나러 갑니다,2586440,20180314,131,[18],https://movie-phinf.pstatic.net/20180305_19/1520225513539qKxjR_JPEG/movie_image.jpg,12,"[904, 99, 769, 587, 717, 1016, 769, 135, 1213]"
192,머니백,40109,20180412,100,"[4, 2]",https://movie-phinf.pstatic.net/20180413_210/1523588214265phMH9_JPEG/movie_image.jpg,15,"[1202, 244, 1349, 645, 446, 1387, 862]"
193,레이디 버드,77198,20180404,94,"[7, 2]",https://movie-phinf.pstatic.net/20180326_207/1522051022222Wrub8_JPEG/movie_image.jpg,15,"[472, 1243, 443]"
194,7년의 밤,513356,20180328,123,"[10, 2]",https://movie-phinf.pstatic.net/20180314_263/1521014679282NcuID_JPEG/movie_image.jpg,15,"[56, 417, 494, 782, 989, 14, 1387]"
195,번개맨과 신비의 섬,36416,20180405,69,"[11, 3]",https://movie-phinf.pstatic.net/20180308_270/1520487343335dApPu_JPEG/movie_image.jpg,0,"[35, 1374, 1302, 217, 217]"
196,콜 미 바이 유어 네임,155275,20180322,131,"[2, 18]",https://movie-phinf.pstatic.net/20180322_215/1521686135764mYK08_JPEG/movie_image.jpg,19,"[1193, 1405, 730]"
197,퍼시픽 림: 업라이징,1052386,20180321,110,"[4, 8, 9]",https://movie-phinf.pstatic.net/20180309_206/1520581718986h3dmX_JPEG/movie_image.jpg,15,"[900, 709, 1406]"
198,리틀 포레스트,1496204,20180228,103,[2],https://movie-phinf.pstatic.net/20180130_167/1517289346533DfzLE_JPEG/movie_image.jpg,0,"[840, 672, 956, 635, 1186, 511]"
199,미니특공대X,83232,20180322,67,[20],https://movie-phinf.pstatic.net/20180220_103/15191171709338noY4_JPEG/movie_image.jpg,0,"[928, 263, 332, 344, 332]"
200,사라진 밤,1314308,20180307,101,[10],https://movie-phinf.pstatic.net/20180219_109/15190203631845L35p_JPEG/movie_image.jpg,15,"[961, 1255, 223]"
201,소공녀,42346,20180322,106,"[18, 2]",https://movie-phinf.pstatic.net/20180720_262/1532060426960PS2uX_JPEG/movie_image.jpg,15,"[1343, 1365, 50, 1042, 514, 514, 860, 270, 1183]"
202,치즈인더트랩,220587,20180314,116,"[18, 10]",https://movie-phinf.pstatic.net/20180320_290/1521509010545wpc05_JPEG/movie_image.jpg,15,"[1344, 234, 733, 1142]"
203,허리케인 하이스트,209225,20180314,102,"[4, 12]",https://movie-phinf.pstatic.net/20180307_264/15203849182541JYSQ_JPEG/movie_image.jpg,15,"[759, 396]"
204,쓰리 빌보드,76440,20180315,115,"[7, 12, 2]",https://movie-phinf.pstatic.net/20180213_77/15184886994041lvK2_JPEG/movie_image.jpg,15,"[216, 255, 1335]"
205,툼레이더,516045,20180308,117,"[4, 8]",https://movie-phinf.pstatic.net/20180228_151/15198047910302bepr_JPEG/movie_image.jpg,12,"[891, 933, 1, 617]"
206,궁합,1327441,20180228,109,"[7, 2]",https://movie-phinf.pstatic.net/20180209_36/1518146280303ogba8_JPEG/movie_image.jpg,12,"[673, 261, 961, 1355, 453, 1163, 588, 1387, 1163]"
207,셰이프 오브 워터: 사랑의 모양,476151,20180222,123,"[8, 6]",https://movie-phinf.pstatic.net/20180307_227/15203992433853TIaa_JPEG/movie_image.jpg,19,"[621, 638, 1234, 730, 757]"
208,블랙 팬서,5376460,20180214,134,"[4, 2, 9]",https://movie-phinf.pstatic.net/20180103_128/1514946690065uYxwW_JPEG/movie_image.jpg,12,"[713, 54, 393, 101, 1407, 104, 61, 1223]"
209,월요일이 사라졌다,872181,20180222,123,"[4, 8, 12]",https://movie-phinf.pstatic.net/20180129_126/1517205484221qUvjL_JPEG/movie_image.jpg,15,"[276, 682, 915]"
210,온리 더 브레이브,40003,20180307,133,[2],https://movie-phinf.pstatic.net/20180219_45/1519027643063p4Gju_JPEG/movie_image.jpg,12,"[845, 1414, 752, 831, 491]"
211,더 포스트,111760,20180228,116,"[2, 10]",https://movie-phinf.pstatic.net/20190318_221/1552890597014zMs7w_JPEG/movie_image.jpg,12,"[968, 1102, 434]"
212,플로리다 프로젝트,41099,20180307,111,[2],https://movie-phinf.pstatic.net/20180130_229/1517276941579AqYLj_JPEG/movie_image.jpg,15,[915]
